Molto buono,Siamo stati in questo ristorante incuriositi dalla cucina vietnamita. Devo dire che il cibo è stato molto buono e il...More,Romaning,"Bettona, Italy",35,Date of visit: January 2020,"January 23, 2020",5.0
East Side Obao - a must!,The pork belly and salt & pepper shrimp are my favorite. Shrimp pad Thai paired with Riesling is amazing. Service is super good and super fast. There’s sometimes a line at the door but it’s worth the wait. Come to Obao - East side location...More,Guide536156,"New York City, New York",1,Date of visit: January 2020,"January 15, 2020",5.0
Excellent dining experience.,Excellent dining experience. Great entrees and apps. The Phad Thai and Pho is superb! Service is friendly. A must try!,jackier962,"Sunnyside, New York",1,Date of visit: January 2020,"January 15, 2020",5.0
Amazing Vietnamese food at,Amazing Vietnamese food at very reasonable prices and tasty cocktails. Great for quick lunch or dinner.,alxtravels23,"New York City, New York",6,Date of visit: January 2020,"January 15, 2020",5.0
Best lunch spot in midtown,"Staff is always super responsive, food is delicious and brought out super fast (even when crowded). Price point is great for the amount of food you get.",richardsU9805SQ,,1,Date of visit: January 2020,"January 15, 2020",5.0
Fun time!,Fun drinks and good atmosphere with the plants and lighting. Good food as well very nice staff. DEFINITELY come for your birthday. Great bday deal.,981mandim,,1,Date of visit: January 2020,"January 14, 2020",5.0
Obao soooo WOW,"I came here for a birthday party and OMG, what a place. The service, hand and foot. The food, words can’t describe. So. WOW. OBAO.",tollant,,1,Date of visit: January 2020,"January 14, 2020",5.0
Great service and food,Service was quick. Food was delicious. Great place to celebrate birthdays (ask for the birthday special).,393dilaraa,,1,Date of visit: January 2020,"January 14, 2020",5.0
Great Food and Atmosphere,"My dad was visiting NYC for the evening and staying in the neighborhood so we decided to stop in here for dinner. We were seated immediately and the service was great. Not to mention, the food was delicious. I had the Pad Thai, which I...More",Cdeak,,1,Date of visit: January 2020,"January 14, 2020",4.0
"Amazing, fast service!!!",I was absolutely starving when we walked in and within a few minutes we had our appetizers and at a reasonable time after we devoured them we got our mains no wait at all! Great house cocktail we both ordered the Obao and loved it....More,Daydream564805,"New York City, New York",2,Date of visit: January 2020,"January 14, 2020",5.0
"Awesome food, even better happy hr.","My beautiful partner and I needed a place for date night and of course she picked her neighborhood favorite. Everything was amazing, we came during happy hour- the obao cocktail is a must!",E4354KWmohammedz,,1,Date of visit: January 2020,"January 14, 2020",5.0
Casual Monday Night Dinner,"It was my turn to pick a place for dinner, so of course Obao was my neighborhood favorite. We got the salt and pepper shrimp (5/5), beef Penang (5/5, pad ke iew (4/5). The drinks were also great. If you’re ever in the neighborhood, just...More",313bellaa,,3,Date of visit: January 2020,"January 14, 2020",5.0
What an amazing place!!!!,"What an amazing place!!!! The food, the service, the place. If you come to New York you should not miss it! It come back for sure next time that I’m in New York!",Playas_Dublin,"Sicily, Italy",6,Date of visit: January 2020,"January 13, 2020",5.0
Amazing restaurant in NYC!,"Amazing restaurant in NYC. Tasty food, good quality, fast service and great prices. Excellent!!!. Definitely a must in your NYC trip",carlospicazosordo,"Madrid, Spain",1,Date of visit: January 2020,"January 13, 2020",5.0
"Lovely place, service, food and chill vibes",This palace is a regular for me from work. Cute little place with lovely service and some great food! The pad see iew has become my staple paired with a glass of Pinot Grigio or “sipping emotions”. Highly recommend this for a cozy 5th date...More,SnehaMu_92,,1,Date of visit: January 2020,"January 13, 2020",5.0
A lot of fun,"We went here for happy hour, had good drinks and tasty appetizers, would recommend if you’re in the area",Roosoh13,,1,Date of visit: January 2020,"January 13, 2020",5.0
"Good food, chill atmosphere!","Just ate dinner here- great for a bite and drinks after work! Share a bunch of apps with friends, and get yourself a cocktail...or two :)",419kelseyc,,1,Date of visit: January 2020,"January 13, 2020",5.0
Great tasting Thai food,Ordered pad kee mao and laksa - tasted great! Good atmosphere and reasonable prices. Service was good as well,jadepU8650NK,"New York City, New York",1,Date of visit: January 2020,"January 13, 2020",5.0
"Cozy environment, friendly","Cozy environment, friendly staff. Great food, medium sized portions. Would recommend. Delicious food.",535muhammadj,"New York City, New York",1,Date of visit: January 2020,"January 13, 2020",5.0
