"My usual spot for pho and pad kee mao. I think both are really well done and basically recommend almost everything on their menu. They have fantastic happy hour prices... like kimchi fries for $6 or fresh calamari for $6.

Ambiance: 4/5
Food: solid 5/5
Service: 5/5 water was never empty.

I highly recommend this spot. Never disappoints for a good hangover spot.",Alex L.,"New York, NY",1/19/2020,5.0
"Found this place on Yelp, and what better food to eat on a snowy New York night than pho?

Obao is conveniently located right by the Lex-53 station. The salt & pepper shrimp was super hot but crispy enough to eat it shell and all. The pho bo noodles were chewy, I forgot to ask for the meat on the outside. Next time!

Can't wait to come again and I might not wait for a snow day!",Laura K.,"New York, NY",1/18/2020,5.0
"Came here on a Friday night, made reservations for two at 6:15pm. I love the new feature where I can make a reservation directly through Yelp now, before I would have to go through the hassle of looking them up on their website and then booking through there, but I find this to be way more user friendly. We arrived on time, and were seated immediately. It wasn't as crowded, which was nice.

I normally order their grilled pork and shrimp Bun, but I was craving for some Bo Luc Lac, and boy did I regret my decision. For $19, it was an utter disappointment. First, I knew something was off when our meal arrived about five minutes after we ordered it, which leads me to believe everything was already prepared and just sitting there waiting to be heated up. Second, the Bo Luc Lac was not traditional. It was not cooked properly. I am used to it usually being cooked to about a medium rare, and they were not even the proper size. The taste was also extremely off. It made me regret being adventurous with their menu, and decided to stick to what I know next time.

We also ordered their calamari appetizer, which I enjoyed, and my boyfriend ordered their Pho, which he enjoyed. Service was good and attentive.",Katy L.,"New York, NY",1/18/2020,2.0
"I come here many times
Love the food and drinks here.  Especially ONE THOUSAND ONE NIGHT
Plus the service is excellent.  
They are very friendly",JJ C.,"Manhattan, NY",1/17/2020,5.0
"I worked around the corner from this place for years before I actually checked it out. My girls and I met up for a little happy hour moment and picked Obao because we had all been wanting to try it.

The service at Obao was great. Everyone on staff was very nice and accommodating. The food however, was underwhelming. I loved the little steamed dumplings but the rest were very underwhelming. Great drink deals though and they weren't very busy, so I would probably only come back for HH.",Mia N.,"New York, NY",12/11/2019,3.0
"The khao soi here: WOW. If you like curry noodle soup DEFINITELY stop by and order this dish! I felt transported back to Chiang mai, Thailand (not quite the same price point but! Really satisfying, coconut-y curry was on point, topped with crispy noodles, plenty of egg noodles in soup. AH)

My friend had the pad kee mao and was also very impressed.

(I ordered the OBAO cocktail and was not a huge fan of the jalapeño)",Regina L.,"New York, NY",1/2/2020,5.0
"Love the ambiance of this location and the food is super tasty! I think this would be a really cute place for a date night. I ordered the clay pot catfish and it was really flavorful. They give a good amount of fish fillets and veggies and I was able to separate it into two meals. It's one of my favorite meals to eat growing up, and this is nonetheless extremely comforting.

My friend had their khao soi which is a curry dish with crispy noodles and that was so, so good! I loved that the noodles softens up and soaks up all the curry goodness. There's so much flavor in this dish, I can't wait to come back and order this for myself next time!

The prices are decent for NY and I'd recommend trying this restaurant!",Stephanie C.,"New York, NY",10/17/2019,4.0
Doesn't look like much when you stroll by but the food is surprisingly good!! We came here during lunch time and were seated right away. We got the basil fried rice with chicken and the Pad Kee Mao. I would rank the noodles as better than the rice (which is also what they are known for)!! Will definitely be a regular customer.,Gauri L.,"Manhattan, NY",1/20/2020,5.0
"We have a couple of drinks at bar. The bartender is very welcoming, the cocktail is right on spot and music is great too.

Have a very nice experience with my friend here.",Bobi P.,"New York, NY",12/26/2019,5.0
"I came here for lunch and got the standard beef Pho with the meatball add on and the veggie spring rolls.  The broth was delicious, the thin beef slices were rubbery, the meatballs were good.  The veggie rolls were okay, the sauce was nothing special and did not make me want to dip my rolls in it. The environment is cute and airy though and it is a huge space.  The service was good as well and food came at a good pace.  Overall I wouldn't likely return unless I was right next to it.",Natalya S.,"New York, NY",12/6/2019,3.0
